speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female
Michael W. Gross,2003,0,0,0,0,0,0,0
Terence J. Cassidy,2003,0,0,0,0,0,0,0
Michael A. Newdow,2003,0,0,0,0,0,0,0
Theodore B. Olson,2003,0,0,0,0,0,0,0
"John Knodell, III",2003,0,0,0,0,0,0,0
Jeffrey L. Fisher,2003,0,0,0,0,0,0,0
Michael R. Dreeben,2003,0,0,0,0,0,0,0
Jeffrey P. Minear,2003,0,0,0,0,0,0,0
Brian Wolfman,2003,0,0,0,0,0,0,0
Paul D. Clement,2003,0,0,0,0,0,0,0
William J. Brown,2003,0,0,0,0,0,0,0
Michael E. Moore,2003,0,0,0,0,0,0,0
Paul D. Clement,2003,0,0,0,0,0,0,0
Bobby R. Burchfield,2003,0,0,0,0,0,0,0
Kenneth W. Starr,2003,0,0,0,0,0,0,0
Jay A. Sekulow,2003,0,0,0,0,0,0,0
Theodore B. Olson,2003,0,0,0,0,0,0,0
Laurence E. Gold,2003,0,0,0,0,0,0,0
Seth P. Waxman,2003,0,0,0,0,0,0,0
Floyd Abrams,2003,0,0,0,0,0,0,0
John P. Elwood,2003,0,0,0,0,0,0,0
Deborah Jane Chuang,2003,0,0,0,0,0,0,0
Tara K. Allen,2003,0,0,0,0,0,0,0
William J. Boyce,2003,0,0,0,0,0,0,0
Roger B. Greenberg,2003,0,0,0,0,0,0,0
Lisa S. Blatt,2003,0,0,0,0,0,0,0
Steven F. Hubachek,2003,0,0,0,0,0,0,0
Marvin S. Cohen,2003,0,0,0,0,0,0,0
Thomas G. Hungar,2003,0,0,0,0,0,0,0
Samuel Goddard,2003,0,0,0,0,0,0,0
R. Ted Cruz,2003,0,0,0,0,0,0,0
Matthew D. Roberts,2003,0,0,0,0,0,0,0
Eric M. Albritton,2003,0,0,0,0,0,0,0
Miguel A. Estrada,2003,0,0,0,0,0,0,0
David C. Mattax,2003,0,0,0,0,0,0,0
George Parker Young,2003,0,0,0,0,0,0,0
James A. Feldman,2003,0,0,0,0,0,0,0
Matthew D. Roberts,2003,0,0,0,0,0,0,0
Conrad M. Troutman,2003,0,0,0,0,0,0,0
"James Al Holifield, Jr.",2003,0,0,0,0,0,0,0
