,speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female,ratio_male,ratio_female
215,Jerome C. Muys,1999,0,0,0,0,0,0,0,0.0,0.0
216,Jeffrey P. Minear,1999,0,0,0,0,0,0,0,0.0,0.0
217,James B. Koch,1999,0,0,0,0,0,0,0,0.0,0.0
218,Malcolm L. Stewart,1999,0,0,0,0,0,0,0,0.0,0.0
219,Richard A. Devine,1999,0,0,0,0,0,0,0,0.0,0.0
220,Ronald J. Nessim,1999,0,0,0,0,0,0,0,0.0,0.0
221,Carol F. Jorstad,1999,0,0,0,0,0,0,0,0.0,0.0
222,Daniel M. Traylor,1999,0,0,0,0,0,0,0,0.0,0.0
223,Kent L. Jones,1999,0,0,0,0,0,0,0,0.0,0.0
224,Jeffrey A. Lamken,1999,0,0,0,0,0,0,0,0.0,0.0
225,Kimball R. Anderson,1999,0,0,0,0,0,0,0,0.0,0.0
226,Richard M. Cooper,1999,0,0,0,0,0,0,0,0.0,0.0
227,Seth P. Waxman,1999,0,0,0,0,0,0,0,0.0,0.0
228,Gregory A. Karle,1999,0,0,0,0,0,0,0,0.0,0.0
229,John H. Weston,1999,0,0,0,0,0,0,0,0.0,0.0
230,Matthew D. Roberts,1999,0,0,0,0,0,0,0,0.0,0.0
231,Michael P. Fleming,1999,0,0,0,0,0,0,0,0.0,0.0
232,Michael T. Leibig,1999,0,0,0,0,0,0,0,0.0,0.0
233,Andrew Zwerling,1999,0,0,0,0,0,0,0,0.0,0.0
234,Beverly Van Ness,1999,0,0,0,0,0,0,0,0.0,0.0
235,Elizabeth S. Kertscher,1999,0,0,0,0,0,0,0,0.0,0.0
236,Jonathan Nuechterlein,1999,0,0,0,0,0,0,0,0.0,0.0
237,Susan K. Ullman,1999,0,0,0,0,0,0,0,0.0,0.0
238,Jordan W. Lorence,1999,0,0,0,0,0,0,0,0.0,0.0
239,Michael R. Dreeben,1999,0,0,0,0,0,0,0,0.0,0.0
240,Michael Gordon,1999,0,0,0,0,0,0,0,0.0,0.0
241,James L. DeAno,1999,0,0,0,0,0,0,0,0.0,0.0
242,Irving L. Gornstein,1999,0,0,0,0,0,0,0,0.0,0.0
243,John R. Wimmer,1999,0,0,0,0,0,0,0,0.0,0.0
244,Lisa S. Blatt,1999,0,0,0,0,0,0,0,0.0,0.0
245,Robert Mastrocola,1999,0,0,0,0,0,0,0,0.0,0.0
246,Brian Shiffrin,1999,0,0,0,0,0,0,0,0.0,0.0
247,Paul E. O'Connor,1999,0,0,0,0,0,0,0,0.0,0.0
248,Edward C. DuMont,1999,0,0,0,0,0,0,0,0.0,0.0
249,Quin Denvir,1999,0,0,0,0,0,0,0,0.0,0.0
250,Charles Condon,1999,0,0,0,0,0,0,0,0.0,0.0
251,Seth P. Waxman,1999,0,0,0,0,0,0,0,0.0,0.0
252,Michael M. Rosenbaum,1999,0,0,0,0,0,0,0,0.0,0.0
253,Jay Starkman,1999,0,0,0,0,0,0,0,0.0,0.0
254,Lee Boothby,1999,0,0,0,0,0,0,0,0.0,0.0
255,Michael W. McConnell,1999,0,0,0,0,0,0,0,0.0,0.0
256,Barbara D. Underwood,1999,0,0,0,0,0,0,0,0.0,0.0
257,Walter J. Rockler,1999,0,0,0,0,0,0,0,0.0,0.0
258,Kent L. Jones,1999,0,0,0,0,0,0,0,0.0,0.0
259,Robert Corn-Revere,1999,0,0,0,0,0,0,0,0.0,0.0
260,James A. Feldman,1999,0,0,0,0,0,0,0,0.0,0.0
261,Barbara B. McDowell,1999,0,0,0,0,0,0,0,0.0,0.0
262,Kevin M. Schad,1999,0,0,0,0,0,0,0,0.0,0.0
263,William B. Collins,1999,0,0,0,0,0,0,0,0.0,0.0
264,C. Jonathan Benner,1999,0,0,0,0,0,0,0,0.0,0.0
265,David C. Frederick,1999,0,0,0,0,0,0,0,0.0,0.0
266,Arthur H. Bryant,1999,0,0,0,0,0,0,0,0.0,0.0
267,Malcolm E. Wheeler,1999,0,0,0,0,0,0,0,0.0,0.0
268,Lawrence G. Wallace,1999,0,0,0,0,0,0,0,0.0,0.0
269,Edwin S. Kneedler,1999,0,0,0,0,0,0,0,0.0,0.0
270,"J. Wallace Malley, Jr.",1999,0,0,0,0,0,0,0,0.0,0.0
271,Theodore B. Olson,1999,0,0,0,0,0,0,0,0.0,0.0
272,Michael E. McLachlan,1999,0,0,0,0,0,0,0,0.0,0.0
273,Barbara D. Underwood,1999,0,0,0,0,0,0,0,0.0,0.0
274,Jay A. Sekulow,1999,0,0,0,0,0,0,0,0.0,0.0
275,Carter G. Phillips,1999,0,0,0,0,0,0,0,0.0,0.0
276,James A. Feldman,1999,0,0,0,0,0,0,0,0.0,0.0
277,James P. Ginzkey,1999,0,0,0,0,0,0,0,0.0,0.0
278,Daniel H. Bromberg,1999,0,0,0,0,0,0,0,0.0,0.0
279,Susan S. Wagner,1999,0,0,0,0,0,0,0,0.0,0.0
280,Timothy S. Bishop,1999,0,0,0,0,0,0,0,0.0,0.0
281,Edwin S. Kneedler,1999,0,0,0,0,0,0,0,0.0,0.0
282,Michael J. Neimand,1999,0,0,0,0,0,0,0,0.0,0.0
283,Harvey J. Sepler,1999,0,0,0,0,0,0,0,0.0,0.0
284,Irving L. Gornstein,1999,0,0,0,0,0,0,0,0.0,0.0
285,Walter Hellerstein,1999,0,0,0,0,0,0,0,0.0,0.0
286,David Lew,1999,0,0,0,0,0,0,0,0.0,0.0
287,"J. Joseph Bodine, Jr.",1999,0,0,0,0,0,0,0,0.0,0.0
288,Edward B. Foley,1999,0,0,0,0,0,0,0,0.0,0.0
289,Matthew D. Roberts,1999,0,0,0,0,0,0,0,0.0,0.0
290,Michael Pescetta,1999,0,0,0,0,0,0,0,0.0,0.0
291,David F. Sarnowski,1999,0,0,0,0,0,0,0,0.0,0.0
292,"Bruce J. Ennis, Jr.",1999,0,0,0,0,0,0,0,0.0,0.0
293,Edward C. DuMont,1999,0,0,0,0,0,0,0,0.0,0.0
294,Thomas C. Goldstein,1999,0,0,0,0,0,0,0,0.0,0.0
295,John Cornyn,1999,0,0,0,0,0,0,0,0.0,0.0
